#ml pH
0 1.99
1 2.02
2 2.07
3 2.13
4 2.22
5 2.32
5.5 2.36
6 2.43
6.5 2.52
7 2.59
8 2.75
8.5 2.88
9 3.02
10.5 3.39
11 3.50
11.5 3.60
12 3.71
12.5 3.80
13 3.92
13.5 4.01
14 4.08
14.5 4.18
15 4.28
15.5 4.40
16 4.50
16.55 4.64
17 4.79
17.5 5.02
17.75 5.18
18 5.43
18.1 5.57
18.2 5.67
18.25 5.83
18.3 6.01
18.35 6.22
18.4 6.45
18.45 6.87
18.5 8.99
18.55 9.49
18.6 9.81
18.7 10.08
18.9 10.52
19 10.6
19.5 11.04
20.1 11.25
20.5 11.37
21.05 11.48
21.5 11.56
23 11.75
24 11.83
