#ml pH
0 1.88
0.5 1.92
1.5 1.96
2 2.00
3 2.05
4 2.13
5 2.22
6 2.32
6.5 2.40
7 2.49
7.5 2.57
8 2.67
8.25 2.73
8.5 2.78
8.75 2.85
9 2.87
9.25 2.96
9.5 3.05
10 3.18
11 3.46
12 3.65
12.5 3.76
13 3.86
13.25 3.91
13.5 3.95
13.75 3.99
14 4.04
14.25 4.09
14.5 4.13
14.75 4.18
15 4.24
15.25 4.29
15.5 4.33
16 4.44
16.5 4.56
17 4.71
17.5 4.91
17.75 5.03
18 5.24
18.3 5.60
18.4 5.71
18.5 6.10
18.55 6.24
18.6 6.51
18.65 8.29
18.7 9.76
18.75 9.96
19 10.34
19.2 10.76
19.45 10.94
19.75 11.14
20 11.26
20.5 11.41
21.5 11.61
22.7 11.78
